Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast! ,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Great Pyramid of Giza,The biggest Egyptian pyramid and the tomb of Fourth Dynasty pharaoh Khufu.,29.97943894,31.134277,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/1200px-Kheops-Pyramid.jpg
Taj Mahal,An Islamic ivory-white marble mausoleum on the right bank of the river Yamuna in the Indian city of Agra.,27.17542986,78.04216924,https://en.wikipedia.org/wiki/Taj_Mahal,https://cdn.kastatic.org/ka-perseus-images/a79b0ada35d989ee1937f865c2216ce50a1b1b33.jpg
Palace Museum,A national museum housed in the Forbidden City at the center of Beijing.,39.91695081,116.3971301,https://en.wikipedia.org/wiki/Palace_Museum,https://miro.medium.com/max/720/0*E9aII8Ko9mrmUKXn.jpg
Brooklyn Bridge,A grand bridge connect downtown Manhattan and Brooklyn in New York City.,40.70629731,-73.9969177,https://en.wikipedia.org/wiki/Brooklyn_Bridge,https://www.exp1.com/blog/wp-content/uploads/sites/7/2020/06/BK-Bridge-1.jpg
Marina Bay Sands,An integrated resort fronting Marina Bay in Singapore.,1.283982748,103.8589992,https://en.wikipedia.org/wiki/Marina_Bay_Sands,https://upload.wikimedia.org/wikipedia/commons/f/f9/Marina_Bay_Sands_in_the_evening_-_20101120.jpg
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
